subject,predicate,object,original_text
Coral,do,Coral,"FAC - TOP Coral do Atlântico - Corte Superficial no 3º/4º dedo da mão direita_x000D_
FAC - TOP Coral do Atlântico - Superficial cut on 3rd/4th finger of right hand"
vehicle,make,contact,"Motor Vehicle Incident - Calgary - March 10, 2018 - Employee driving company vehicle made contact with a small charging station pole in a non-company owned parking lot."
Forklift,strike,guide,Forklift struck gate guide
middle,leave,finger,NON-Technip Owned - BNJ-FAC 34 - 2529 TAP Project - Greece/Camp 5- 25/06/2018 - Minor laceration middle left finger with grapple
release,see,receptacle,Minor Environmental Impact - 072538C001 - Marathon – Brae Bravo Gas bypass - Deep Explorer - 14/11/2018 – Hydraulic release from the Diamond Wire Saw Hot stab receptacle when removed
bucket,strike,cable,"PD - OUI JV Rapid - Pengerang, Johor - 29 August 2017 - While carrying out excavation works the excavator's bucket struck an unidentified earthing cable"
rock,strike,windshield,Road rock strikes FMC truck LD6535 windshield
Worker,feel,nauseas,NWR - 076328C002 Karish Gas development Project onshore Israel - Worker feeling nauseas whilst off site - 06/11/2019
Collision,bruise,aid,Collision bruised back 1st aid
IP,make,contact,Non-Technip Owned RWC- Aasta Hansteen - South Korea - Asia - 2/9/17  - IP made contact with an anode and tripped over DBU
worker,sustain,cut,Deep Energy - Dry docking 2018 - Accident - Minor FAT - yard worker sustains minor cut on nose
Gas,lift,skid,Deep Explorer - FAC - Shell Gannet E Reinstatement / Dana GGA Gas lift Tee skid additional works (073803C001) – 15th Aug 2018 – Diver 1 reports irritation to neck.
Diver,report,irritation,Deep Explorer - FAC - Shell Gannet E Reinstatement / Dana GGA Gas lift Tee skid additional works (073803C001) – 15th Aug 2018 – Diver 1 reports irritation to neck.
who,carry,back,"MTI - OUI JV Rapid - Pengerang, Johor - 18 September 2017 -  The IP who was carry the back of the plank slipped off the platform and fell approximately 3.8 metres to the ground."
Excavator,damage,cable,NON Technip Owned - RNT-NM 16 - 2529 TAP - Greece/GSC00 - 23/05/2018 - Excavator damaged underground power cable
IP,wound,finger,RWC - 15.07.16 - XXXX Non Project - Angoflex Ltd - IP wounded his left index finger in a crane propeller.
line,part,Who,Damage - 074668C001- LLOG Who Dat Pump - Deep Explorer - 28/12/2019 - Mooring line parted during barge operations
worker,suffer,burns,First Aid 114- MIDOR - Egypt - 11.4.2021-- worker suffered burns after being exposed to chemicals
Inspector,bump,knee,NON-Technip Owned - TAP-FAC 08 - 2529 TAP Project - Greece/KP 381+900 - 12/10/2018 - Coating Inspector bumped right knee on the ladder
TAP,sustain,injury,NON Technip Owned - BNJ-RWDC 06 - 2529 TAP - Greece/KP313 -21/06/2017 -  Pipefitter sustained a hand injury during Tie-In activity
Manual,leave,finger,Manual pulling by hand injured left middle finger
Redness,leave,leg,NWR - G1200 - Brest Dry Dock - 06 Oct 17 - Redness and pain to  left lower leg
al,realizar,grúa,"Equipment fall when performing crane movement_x000D_
Caida de equipo al realizar movimiento con grúa"
lorry,hit,barrier,Property damaged/APSB/ Main guard House/15.12.2017/Site loader lorry was hit the Out-barrier at main guard house
Diver,receive,Treatment,First Aid Treatment - 077765C001 - Kinsale (South West Kinsale & Greensands) - Deep Discoverer - 23.10.2020 - Diver receives minor First Aid Treatment on a graze to his right ankle
Contractor,get,body,FA-TU Inc.-16.10.16- Contractor (Welder) got foreign body in the eye while grinding and welding
Owned,sustain,injury,"(Non TPFMC Owned) MTI - SEQU Offshore Safety Training Centre - Petaling Jaya, Selangor - 22 February 2019 - IP's sustained a shoulder injury during training"
IRM,lose,footing,"Non Work Related First Aid Case - 200063C001 - CNR T-Block IRM 01/09/2020 -  IP lost his footing whilst transiting down internal stairs (3/4 steps), resulting in first aid treatment from the onboard Medic"
Contido,do,Bombordo,"Skandi Niterói - Environment Incident - Non-contained oil leak in Starboard side ROV_x000D_
Skandi Niterói - Incidente Ambiental - Vazamento de Óleo Não Contido do ROV de Bombordo"
Owned,relate,SHI,NON TechnipFMC Owned related MTC- Coral - SHI Yard- 22-08-19- Cut by Grinder Disc
Contractor,cut,fingers,Contractor MTI- Asiaflex - Warehouse - 20/4/2018 - Contractor cut 3 fingers on left hand
Diver,lower,pain,RWC-065995C001-Enquest Scolty and Crathes- Diver lower back pain
Pallet,fall,forklift,DO Pallet with equipment fell off forklift during transport
Exterior,strike,Pallet,"Motor Vehicle Incident - Non-Project Related - Gremp Campus S12 Exterior by Thread Inspection - December 9, 2019 - Vendor Vehicle Struck a Staged Pallet by S12"
DI,hit,Truck,DI (RTC-27) - BMP - Bahrain - 07.10.2021 - Passenger Bus Hit A Boom Truck
du,pie,individuelle,LTI - 20/10/2020 - Quai OSLT - Ecrasement du pied avec une Plate-forme individuelle (PIR) - Foot crushed by mobile scaffolding
valves,strike,employee,"Dropped 4""10k Hyd. valves strikes employee on side of foot."
crane,have,fail,ENV - TU Ltd.- Carousel B - 02/02/17 - SOS crane had a hose fail which released a spray of hydraulic oil
which,release,spray,ENV - TU Ltd.- Carousel B - 02/02/17 - SOS crane had a hose fail which released a spray of hydraulic oil
Carpenter,crush,pinky,First Aid  0041 - MIDOR - Egypt - 2020-10-07 -   Carpenter crushes his pinky
Employee,get,swelling,First Aid - Non Project - Mumbai Office - 27.12.19.- Employee got minor swelling in right leg due to fall  from the stopped bus
he,have,discomfort,FAC - TUL - 15.4.18 - IP reported that he had discomfort in his back when standing up after attaching tarps to roller paths
fitas,flexível,na,Acidente com Primeiros Socorros (FAC) na Flexibras Vitória: Colaborador sofreu corte no dedo anelar esquerdo ao cortar fitas em linha flexível na máquina SPZ com tesoura manual.
SPZ,com,manual,Acidente com Primeiros Socorros (FAC) na Flexibras Vitória: Colaborador sofreu corte no dedo anelar esquerdo ao cortar fitas em linha flexível na máquina SPZ com tesoura manual.
forearm,get,injury,FAC 134 - Proj. 2450 - Mangalore - 05/07/2016 - Right hand forearm got minor burn injury
leg,give,way,NWR- LTI- TUL - 26.04.19 - IP's right leg gave way while walking through workshop
NAPHTHA,COMPLEX,Greece-15.04.2021-,FAC002-076971C - NEW NAPHTHA COMPLEX EPC - Greece-15.04.2021- Bump on the left side of the chest after slip at ground level
load,make,contact,"DAM - Lifting of Scrap Pipe, load makes contact with funnel."
IP,cut,finger,IP cut right middle finger whilst using portable grinder
Damage,switch,cable,Damage - Damage to proximity switch electrical cable and screw gate karabiner (connected to chain supporting chandelier) on Air LARS
IP,feel,sound,LTI - Baobab Riser Installation - 071844C001  - Deep Explorer - 08.11.17 - IP feels sharp pain and snap sound from elbow during manual handling of an empty wooden crate.
they,ingest,something,"First Aid - Bonnyville WH - May 4, 2018 - Employee was taken to the hospital by location management because the employee thought they had ingested something from earlier in the day during work tasks. Employee was using a grinding wheel to buff a BOP and informed management but after being inspected they felt find and continued to work while being monitored throughout the day. The employee received two xrays that were both negative. Employee was transported both to and from the hospital."
Employee,use,wheel,"First Aid - Bonnyville WH - May 4, 2018 - Employee was taken to the hospital by location management because the employee thought they had ingested something from earlier in the day during work tasks. Employee was using a grinding wheel to buff a BOP and informed management but after being inspected they felt find and continued to work while being monitored throughout the day. The employee received two xrays that were both negative. Employee was transported both to and from the hospital."
employee,receive,xrays,"First Aid - Bonnyville WH - May 4, 2018 - Employee was taken to the hospital by location management because the employee thought they had ingested something from earlier in the day during work tasks. Employee was using a grinding wheel to buff a BOP and informed management but after being inspected they felt find and continued to work while being monitored throughout the day. The employee received two xrays that were both negative. Employee was transported both to and from the hospital."
Açu,cut,palm,"First Aid Case - 077524C000 Mero 1 - Deep Star - Açu, Brasil - 09.02.2022 - Shoreside firewatch cut his left palm with a utility knife"
operator,hit,plank,"After a lifting operation, equipment had to be inspected and the operator bent down to check for damage.
When the operator stands up again, the operator hits a plank that is placed on a shelf in a pallet rack. The collision leads to a cut in the upper lip on the left side. Injured person (IP) had to get 3 stitches.
IP was back at work the same day.
The plank (48x98) was used in connection with the lift and was slightly outside the pallet rack shelf. IP had put the plank in the pallet rack himself."
IP,put,plank,"After a lifting operation, equipment had to be inspected and the operator bent down to check for damage.
When the operator stands up again, the operator hits a plank that is placed on a shelf in a pallet rack. The collision leads to a cut in the upper lip on the left side. Injured person (IP) had to get 3 stitches.
IP was back at work the same day.
The plank (48x98) was used in connection with the lift and was slightly outside the pallet rack shelf. IP had put the plank in the pallet rack himself."
av,resten,pappen,"Tekniker skulle bryte av ett papprør for hånd som ble brukt til å kveile opp ethernet kabler til en testboks.
Papprøret knakk ikke helt av og tekniker skulle kappe av resten av pappen med en knekkebladkniv.
Tekniker glapp kniven og knivbladet kuttet tekniker midt på venstre underarm. 
Kuttlengde ca. 2 cm og kuttdybde ca. 1 cm.
Fastlegen sydde 3 sting.
Tilbake på jobb samme dag."
Fastlegen,sydde,sting,"Tekniker skulle bryte av ett papprør for hånd som ble brukt til å kveile opp ethernet kabler til en testboks.
Papprøret knakk ikke helt av og tekniker skulle kappe av resten av pappen med en knekkebladkniv.
Tekniker glapp kniven og knivbladet kuttet tekniker midt på venstre underarm. 
Kuttlengde ca. 2 cm og kuttdybde ca. 1 cm.
Fastlegen sydde 3 sting.
Tilbake på jobb samme dag."
på,jobb,dag,"Tekniker skulle bryte av ett papprør for hånd som ble brukt til å kveile opp ethernet kabler til en testboks.
Papprøret knakk ikke helt av og tekniker skulle kappe av resten av pappen med en knekkebladkniv.
Tekniker glapp kniven og knivbladet kuttet tekniker midt på venstre underarm. 
Kuttlengde ca. 2 cm og kuttdybde ca. 1 cm.
Fastlegen sydde 3 sting.
Tilbake på jobb samme dag."
Operator,pinch,finger,Operator pinched little finger in locking mechanism while handling an Assembly Fixture.
operator,get,dust,"The operator got paint dust in his eyes during painting work.
Operatør fikk lakkstøv på øynene under lakkeringsarbeid."
operators,receive,shock,Two operators received an electric shock measured at 80 volts from arm to arm when they touched the Front G2i (engine) and workbench.
they,touch,G2i,Two operators received an electric shock measured at 80 volts from arm to arm when they touched the Front G2i (engine) and workbench.
Technician,move,pcs,Warehouse Technician moved two pcs. of ACM Connector Housing (44.5 kg ea) from a disposable pallet to an approved EUR pallet. The IP chose to manually lift the parts by hand. This led to back pain and IP had to stop working.
Forklift,strike,Door,Property Damage - Forklift struck Roller Door
IP,report,pain,IP reports a pain in his right bicep following assembly work on the autonomous underwater vehicle (AUV)
IP,feel,pain,IP felt pain in back when tightening floor bolt with a ratchet spanner
platform,damage,downpipe,Wheel of contractor's mobile elevating work platform damaged plastic downpipe
IP,receive,cut,IP received small cut to their hand when lifting a damaged office chair
truck,strike,door,PD - Forklift truck struck roller shutter door
IP,suffer,cut,IP suffered a minor cut to finger whilst moving trolley
IP,receive,discomfort,IP received muscle discomfort whilst replacing lever hoists on storage reel
IP,feel,rollers,IP felt pain in back after manually adjusting guide rollers on SZ line under-rollers
s'est,refermé,l'opérateur,SB - Cafeteria Bat. A - Tiroir de la machine à sandwich  resté bloqué ouvert et en voulant le faire redescendre la porte s'est refermé sur le majeur de la main gauche de l'opérateur
employee,have,crisis,An employee had a malaria crisis
hidráulico,do,LEAK,"Vazamento de óleo hidráulico do Guindaste Contratada

HYDRAYLIC OIL LEAK FROM VENDOR’S CRANE"
IP,sustain,Injury,(Non-Technip Employee) Genesis - London - First Aid Case - IP sustained Head Injury in Office whilst carrying out maintenance work.
worker,feel,discomfort,First Aid-BLADE-Beaumont ISBL Plot-Jul-15-2020 Performance worker felt back discomfort after chipping piles
FORKLIFT,strike,BUMPER,FORKLIFT STRUCK TRUCK BUMPER OF COMPANY VEHICLE LD5579 WHILE PARKED
Finger,press,cut,"Acidente RWC - Flexibras Açu -  Prensamento de dedo com corte._x000D_
Accident RWC - Flexibras Açu - Finger pressed causing cut."
he,forget,medication,"NWR FAC - 023138C001 STEAM BOILERS - MARTIGUES - 09.02.2016 - Subcontractor Manager felt unwell in the office, because he forgot his medication for the heart."
spill,lift,system,EI 06 - Bapco Modernization Program - Bahrain - 23.12.2020 - Minor oil spill from Man lift Hydraulic system
óleo,do,pedestal,Acidente Ambiental (minimal impact) - TOP Coral do Atlântico- Identificado sinais de óleo no convés e lateral do pedestal
Employee,miss,step,"FAC - Tortue FPSO Project - Qidong - 14/03/21 - Employee missed the step while descending scaffold access stair, tumbled and knocked on the beam."
operator,pinch,hand,NON-Technip Owned - BNJ-MTC 10 - 2529 TAP Project - Greece/KP 301- 20/11/2018 - Sideboom operator pinched his left hand
Ambulance,suffer,attack,Non Work Related Ambulance on Site - Non Project Related - Evanton Spoolbase - 21.02.2023 - IP suffered Angina attack
hits,leave,toe,"FAT - P76 Project - Brasil Pontal do Paranà - 06/02/2017 - Batida de marreta contra o 1° dedo da mão esquerda _x000D_
FAT - P76 Project - Brasil Pontal do Paranà - 06/02/2017 - Hammer hits left hand toe"
Loader,strike,accumulator,"Loader struck accumulator with accumulator on forks and broke pneumatic side 3/4"" hydraulic line at reservoir tank."
finger,touch,surface,First Aid Case_071338C001 - 918 - HGU Reformer Revamp_Bina_ Welder hand finger touch the hot surface.
dos,tampõe,JRC,Pinçamento de Dedo durante a realização do ensaio dos tampões da JRC
Less,release,connector,Non-TFMC Owned - Environmental- Minor - Shell Barracuda - DOF Skandi Skansen - May 07 2021 @ 505 hrs. – Less than 200ml of Tellus 22 released subsea from CSS ROV skid during activation the 3019 connector
barge,touch,crane,Equipment Damage - KAOMBO - North Sea Atlantic - 30/01/17 - Bunker barge (Bridge Wing) touched 50T crane on departure
Pickup,strike,Deer,Pickup Struck Deer
injury,leave,_,"FAC # 7 _ Minor injury on IP left leg lower ankle joint _EPCC-06, Vizag_8th February 2021"
Loader,contact,bollard,Property Damage- Theodore Spoolbase-17 Jan-2020- Loader contacted bollard
Aid,feel,pain,First Aid 113- MIDOR - Egypt - 10.24.2021-- Pipe fitter felt pain at his shoulder during manual handling activities
valve,cause,cut,Damaged needle valve in test booth caused cut to arm.
Worker,slip,Leg,First Aid 052 - MIDOR - Egypt - 12.13.2020 - PTJ Worker Slipped His Leg at Rain Ditch at U 23
Contractor,get,body,FAC - TU Ltd - 29.06.17 - Contractor got foreign body in eye during grinding
NON,work,IP,LTI - NON WORK RELATED - Algeria - IP has sprain ankle
sistema,do,Munck_x000D,"Acidente Ambiental (minimal impact) - Macae Base Cabiunas - Vazamento de Oleo Hidraulico do sistema do Munck_x000D_
_x000D_
Environmental Accident (minimal impact) - Macae Base Cabiunas - Hydrilic Oil Leak from Crane system"
Individual,suffer,pain,RWC - North Sea Atlantic - 08.10.20 - Edvard Grieg - Individual Suffered Muscular pain and discomfort following Over Exertion
Finger,cut,injury,First aid case - Finger cut injury
cap,strike,worker,NON-Technip Owned - BNJ - LTI 11 - 2529 TAP Project - Greece/KP 271- 04/10/2018 - End cap of metal pipe struck a worker
Spool,fall,stands,Spool fell off pipe stands
Dande,hit,car,PD - Angoflex - Dande - 20-12-2016 - Trailer hit car
member,hit,head,FAC - Kaombo - Bourbon Evolution 803 - 21 03 2017 - Crew member hits head
LLOG-,spruance-,compatt,Environmental- Marie Debris- LLOG- Spruance- 11 Aug 2021- loss compatt
IP,suffer,injury,"MTI - OUI JV Rapid - Pengerang, Johor - 5 March 2017 - The IP suffered a finger injury when his finger was pinched by a fallen cabinet"
DUSLO,CPAVOK,Contusion,"First Aid-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-20/04/2017-Contusion of the left arm hit by 1"" pipe 7m long during its manipulation"
-XXXX,hit,block,Incident -XXXX - 11-sep 2020 - Singapore - Reach Truck hit crane hook block
Operator,cut,thumb,Medical Treatment Injury - Edvard Grieg -  Nymo (ELFO) - 19.08.20 - Operator cut thumb while installing Flying Leads
downline,fitting,manifold,Env Incident - WOS SPR - Far Superior - 25.06.2021 Leakage downline at MQC fittings II - Toremore manifold
Golpes,extremidade,resbalon,Primeros Auxilios - Neuquén - 31/11/2017 - Golpes en extremidades inferiores causado por resbalon
eye,irritate,them,"Non-Work Related - Fort St John FTS - January 13, 2019 - An employee had their left eye irritating them prior to starting work shift and travelling to client field site."
Truck,hit,door,DI - Ustay Sewage Water Truck hit Azfen Truck left cabin door
sling,hit,foot,NON-Technip Owned - SPM-FAC 04 - 2529 TAP - MMY Brindisi - 05/03/2020 - Wire sling hit a foot
Operator,receive,cut,FAC - 20.02.18 - TU Ltd - Jangkrik -  Operator received a small cut to face from armour wire
Track,hoe,Truck,PD - LCCP - 2017 - 03 - 08 (Track hoe damaged CADs Welding Truck)
Worker,sustain,injury,RWC 04 - Bapco Modernization Program - Bahrain - 22.03.2020 - Worker sustained pinch point injury
IP,lift,batons,LTI - Hasbah - TU Ltd - 23.07.18 - IP was lifting wooden batons when he experienced pain in his back
he,experience,pain,LTI - Hasbah - TU Ltd - 23.07.18 - IP was lifting wooden batons when he experienced pain in his back
Janeiro,do,trabalho,Acidente de Trajeto - Rua em frente ao Escritório Cidade Nova - Rio de Janeiro - 10/10/2016 - Torção de tornozelo à caminho do trabalho
cook,burn,himself,(RWC) TOP Coral do Atlântico - Chef cook burned himself with hot oil when discarding the oil in the sink.
Pengerang,apply,pressure,"MTI - OUI JV Rapid - Pengerang, Johor - 10 May 2017 - As the IP began apply pressure to bend the rebar , the rebar broke and his lower hand struck the rebar causing the injury ."
hand,strike,rebar,"MTI - OUI JV Rapid - Pengerang, Johor - 10 May 2017 - As the IP began apply pressure to bend the rebar , the rebar broke and his lower hand struck the rebar causing the injury ."
Pengerang,hit,light,"PD - OUI JV Rapid - Pengerang, Johor - 7 April 2017 - A truck hit an existing street light causing damage to the pole and damage to the truck signal lamp"
Worker,get,injury,FAC 142 - Proj. 2450 - Mangalore - 30/08/2016 - Worker got minor abrasion injury over thigh during shifting activities
Pinched,leave,Thumb,FAC - LCCP - 2016 - 07 - 06 (Pinched Left Thumb with C channel)
DUSLO,CPAVOK,spillage,Environmental Incident-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-29/08/2016-Oil spillage from the hydraulic system of a crane
teste,do,Vitória,Acidente com Primeiros Socorros - Área de teste do MMT Vitória: Impacto de ferramenta em dedo da mão direita.
Rigger,suffer,contusion,First Aid 102- MIDOR - Egypt - 7.18.2021-  Rigger suffered Kne contusion at U 53
Project,suffer,wounds,MTC – MIDOR Refinery Expansion Project – Egypt – Alexandria – 14-09-2021- Scaffolder suffered cut wounds after being hit by ladder beam
cook,receive,burns,NON-Technip Owend - SCA-RWDC 04 - 2529 TAP Project - 03/10/2018 - Albania/Camp 2 Kitchen- A cook received burns in his leg with hot water
SX2,frame,subsea,Damage - Dropped object subsea - 080190C001 - BP Thunder Horse SX2 – Deep Blue – 07 Jan 2021 - Dropped Transponder and frame subsea during deployment
car,suffer,malfunction,Employee car suffered a malfunction causing a diesel spill.
Worker,encounter,pain,Worker encountered sharp pain in upper right groin after shoveling sand over a berm
cut,leave,finger,Medical treatment - APC Horn Mountain West - Deep Blue - 01/12/20 17:00 - IP cut left ring finger whilst moving equipment
Traverse,take,Line,FA - APSB - MTP - 28.02.2017 - Left Foot Caught under the Underoller While Traverse at Take Up Armouring Line (A9)
IP,report,pain,NWR - TU Ltd - 02/03/17 - IP reported back pain
NAPHTHA,COMPLEX,Damage,DA002-076971C - NEW NAPHTHA COMPLEX EPC - Greece-12.03.2021 - Minor Damage to Cooling Water Pipe
Fuite,d'huile,leak,IE Le Trait - PARC T/W6 -15/01/2018-Fuite d'huile hydraulique importante sur ROU11 - Hydraulic oil leak Rou11 (Reel carrier)
Constellation,strike,hydrant,Equipment Damage - APC Constellation - Theodore Spoolbase - 17 Nov 2017 - vehicle struck fire hydrant.
equipment,feel,discomfort,"First Aid - Grande Prairie - July 4, 2019 - Employee manually lifting equipment felt some discomfort during task."
Crate,knock,trailer,Equipment Damage - APC Constellation - Quayside - 17 July 2018 - Crate knocked off truck trailer
Grinder,hit,leg,MTC – MIDOR Refinery Expansion Project – Egypt – Alexandria – 19-08-2021-Grinder hit his right leg by a wire brush motor
Excavator,damage,pole,NON Technip Owned - SCA-DA (RTA) 19 - 2529 TAP - Albania/KP 177 - 12/07/2017 -  Excavator damaged an electrical pole
ROV,rupture,hose,Environmental Incident - KAIKIAS – Deep Blue - 03.02.2018 - Minor oil leak during subsea operations -  OTS ROV ruptured hose.
Vitoria,lose,subsea,Minor Environmental Incident - 071259C001 Coral FLNG - Skandi Vitoria - 30 April 2022 - Plastic shroud lost subsea during recovery
IP,receive,Scratch,FA_HURL-Sindri_077625_First Aid Case # IP received Minor Scratch on back side of the Neck
Atlantic,-Halten,body,North Sea Atlantic -Halten Øst  - 300658C001 - 23 October 2024 - Marine crew member foreign body in right eye
XLX,suffer,discharge,Environmental - ROV XLX 126 suffered a hydraulic oil discharge into the environment
oil,enter,water,Minor Environmental Release - 302094C002 - Deep Explorer - 22 October 2023 - Residual hydraulic oil from Spider subsea dredging unit entered the water during wet test
IP,receive,cuts,MTI - TSB Phase 2 - TU Ltd. - IP received 3 cuts to his hands during back braiding
steward,sustain,cut,First Aid Treatment - Deep Star - 20 May 2022 - Mero 1 Project - 077524C001 - Laundry steward sustained a minor cut on finger from the drum of tumble drier
bottles,manul,handling,First Aid Treatment  -  Deep Star- 03 -  March  -  2023-  PATOLA -   100126C001 - Karoon- First Aid - Light pain in right forearm after 20L water bottles manul handling. Primeiros Socorros - Um pouco de dor no antebraço direito ao realizar manuseio manual Garrafa de Água 20 Litros
ao,realizar,manual,First Aid Treatment  -  Deep Star- 03 -  March  -  2023-  PATOLA -   100126C001 - Karoon- First Aid - Light pain in right forearm after 20L water bottles manul handling. Primeiros Socorros - Um pouco de dor no antebraço direito ao realizar manuseio manual Garrafa de Água 20 Litros
member,cut,area,First Aid Case - Deep Star- Crew member cut forehead area / Membro da tripulação cortou a área da testa
boat,make,contact,081105 – KGD6-MJ1 - Damage Incident - Crew boat made contact with Deep Orient hull
das,haste,cilindros,"Incidente com dano ao equipamento no CTF (Jucu) - Deformação das hastes dos cilindros de elevação da máquina da fadiga MTS do laboratório._x000D_
_x000D_
ENG - Incident with damage to equipment at CTF (Jucu) - Deformation on the MTS lifting cylinders rods - Laboratory."
MTS,do,Incident,"Incidente com dano ao equipamento no CTF (Jucu) - Deformação das hastes dos cilindros de elevação da máquina da fadiga MTS do laboratório._x000D_
_x000D_
ENG - Incident with damage to equipment at CTF (Jucu) - Deformation on the MTS lifting cylinders rods - Laboratory."
Closed,impact,fracture,RWC - Yamal LNG Project - Sabetta - 04.07.2018 - Closed impacted fracture of radial bone in a typical place on the right
Ankle,twist,09,FA - TU Inc - Shell Powernap - Ankle twisted on extruder catwalk - 2020-03-09
trailer,scrape,trailer,TFMC trailer scrapes J&A trailer
Telehandler,strike,barrel,Spill - Telehandler struck barrel of fluid
Employee,drop,valve,"Employee drops valve, injuring his toe."
We,update,report,Employee struck by test cap while working on a crown valve (note: investigation is ongoing. We will update the report as timely as possible)
Telehandler,strike,barrel,Spill - Telehandler struck barrel of fluid
Loader,hit,trailer,Loader hits trailer in Minot service base yard.
