src,rel,dst,src_label,dst_label,row_id
node:c359ce62-0cd7-41ca-85c3-94c3577a8095,HELMET ILTIQUE NM Incident 15:1.0,node:cdf9bca0-4a06-4c0a-9ef7-47e0e74d5387,"""NEAR MISS INCIDENT REPORTING DATE""",INTELLECT_DATEMATRIX-18/04/2023 - HEURT PAR BARBELÉS.,12
node:4082c2e5-4a90-45b7-bfcb-66f56475acfe,"<The selected case, NM-2529 TAP - Albania/NM3 - Injury - Lost Time Injury Severity Value: The crane's rear right outriggers was being off-ground for 10-15 cm. This reinforced the incident at a zObsolete (Tirana warehouse_cause of investigation, Mr. Gilbert Bahlmann",node:5267f71f-990f-4c6f-8015-0385824fd2dc,UNSAFE LIFTING OPERATION (SOURCE ENTITY) WITH A LIKELIHOOD AND SEVERITY VALUE FOR LOSS POTENTIAL 8.0.,"""LOSS_SEVERITY_VALUE""",13
node:15e26ec5-29fd-44c8-8196-69392c565e56,"<date_of_the document and safety audit findings, with",node:3ad9443e-dfc3-4d58-9b3b-e014a5d6dcb4,JOHN DOE'S FALL INCIDENT DATE,"""ENTITY""",14
node:0881b9da-96d6-4666-af87-f32f252115fa,"""The collapsed concrete cover caused damage to the front left wheel of the truck"")Relationship strength: 9 (Given that a significant part of equipment was damaged, but no injuries were reported)(""entity""",node:3531ba4b-8827-4496-8dee-a88de7aa65bb,"""PIECE OF CONCRETE COVER""","""TRUCK'S LEFT WHEEL""",15
node:06e99fa4-7205-4597-a0d3-eec3b542f72e,"Woundplast is used to dress wounds, including finger injuries at the workplace.",node:2da296d9-4fd9-4e8e-bd84-db2ba887f029,FINGER INJURY,WORKPLACE WOUNDCARE,16
node:4dd76d2d-daf4-48b8-a9cf-f4cf650e7aa4,"Woundplast is used to dress wounds, including finger injuries at the workplace.",node:2da296d9-4fd9-4e8e-bd84-db2ba887f029,RIGHT INDEX FINGER,WORKPLACE WOUNDCARE,17
node:2da296d9-4fd9-4e8e-bd84-db2ba887f029,"Finger injury occurred during work on Yamal LNG project, and woundplast was used for treatment.
Woundplast is used to dress wounds, including finger injuries at the workplace.
RIGHT INDEX FINGER
FINGER INJURY",node:a879dbe6-85aa-43d8-965b-1706a5a4219e,WORKPLACE WOUNDCARE,YAMAL LNG MWP1,18
node:2da296d9-4fd9-4e8e-bd84-db2ba887f029,"YAMAL LNG MWP1
RIGHT INDEX FINGER
FINGER INJURY",node:abd6c809-c984-4186-b124-01577cefb7df,WORKPLACE WOUNDCARE,ZAMBECI - ALNG2 COSCO YARD,19
node:2da296d9-4fd9-4e8e-bd84-db2ba887f029,"The finger injury occurred at the workplace in Qingdao, China on 29th Mar 2017.",node:dd6790c5-10bf-418b-aad3-8f438f5bf87c,WORKPLACE WOUNDCARE,YAMAL LNG MWP1</ENTITY_NAME>314-PAU-004,20
node:3ca58e33-8c86-4a06-b4d7-0f98ac277581,POP and head of Amarravoo Boat were involved in the same incident.,node:15404bf2-fde9-4295-920d-997bad11a49e,"""COLLISION BETWEEN POP AND HEAD OF AMARRAVOO BOAT'S CODESA - ES""",<EQUIPMENT_AFFECTED,21
node:231e071a-696e-423e-85bf-dfe1f25efa98,"<relation>The incident occurred at the workplace of zObsolete - Erie Manufacturing located in Obsolete - Erie, which is a part of TechnipFMC's General Business Unit (Production Solutions) and Specific BUSiness Unit. The status value for this case was 8 with an unawareness led to the selection",node:00745de1-a0bc-4ae3-a288-51601ffef9ab,"""INCIDENT_WORKPLACE""","""ERIE MANUFACTURING FACILITY, ERIE, USA""",22
node:de84f9aa-eaeb-4bb1-8249-a4b9cbad20f5,"Incident Type: Accident  
Description Summary for ""INCIDENT_TYPE"" and ""ACCIDENT"": The entity, referred to as Incident or the accident in question, is a serious event that has resulted in harm. Specifically, this incident involved physical injury wherein certain body parts were affected by trauma during an unforeseen occurrence.

Description Summary for all entities:  
The Accident at Emergency Generator Room Appachi II led to bodily injuries among the individuals present when a DPIT (threaded bar) was involved in causing harm, particularly affecting the right ribs of some victims. The incident underscries the importance of safety measures and protocol adherence within industrial environments where machinery like threaded bars are utilized for maintenance or operational purposes.

In resolving contradictions:  
The initial descriptions provided conflicting information regarding which body parts were injured, with one mentioning ""BODY_PARTS INJURED"" and another specifying the injury as being to the right ribs only. To provide a coherent summary that encapsulates all relevant details without contradiction: The Accident at Emergency Generator Room Appachi II resulted in bodily injuries, with specific harm inflicted upon individuals' right ribcage areas due to an incident involving a DPIT (threaded bar). This highlights the need for stringent safety protocols and proper training when handling industrial equipment.

(Word count: 109)",node:bf737ab8-057b-44cd-bc07-8a190c799460,"""INCIDENT_TYPE""","""ACCIDENT""",23
node:de84f9aa-eaeb-4bb1-8249-a4b9cbad20f5,"""ORGANIZATION""
""EQUIPMENT""",node:e1805a14-1f75-4219-b2d6-f8d2abd8846e,"""INCIDENT_TYPE""",ACCIDENT,24
node:1d06023e-c535-4130-b135-9663de50ae68,"""LOCATION""",node:c9da6712-4d7f-4399-ba77-e399dc3c41a1,"""EQUIPMENT""",PEDISTAL FAN WITH CORD,25
node:0d4d7c70-4e03-4e90-bb2d-0672a4741abc,,node:db4d39f3-81bc-42bf-8211-c34f7cc57e5b,"""INCIDENT CLIENT: AIR PRODUCTS AND INJURY / RESTRICTED WORK CASE/LOSS OF CONSCIOUSNESS SEVERITY VALUE FOR THIS CASE IS ""9/30/2016_ DEADLINE TO BE CLOSED ON 9/30/2016""","""THE CLIENT INVOLVED IN THE INCIDENT WAS AIR PRODUCTS, AND IT'S A NEAR MISS INCIDENT WITH NO INJURY OR PROPERTY DAMAGE CAUSED. THE CASE HAS BEEN ASSIGNED HIGH CRITICALITY (4.0) AS ITS POTENTIAL LOSS SEVERITY IS LOW BUT STILL CLOSED ON 9/30/2016""",26
node:5d5a1fd2-2d74-4e87-8819-267cbddd8779,PFC TECHNICIANS,node:4cd553f3-2833-45c9-9ca5-fcca8860090a,G1201 CO2 SYSTEM,ALARM SYSTEM FOR PAINT LOCKER AND INCINERATOR ROOM,27
node:c4db6446-d9f0-4ccf-b7a3-6e387432a34e,G1201 CO2 System INJURY:INCIDENT RELIEF CLASSIFICATION AND MUSTER BY EQUIPMENTS,node:fa4912c3-0281-4a09-bed2-aa33cc3596cc,G1201 COLOMB SYSTEM INCIDENT REVIEW CASE,"""ENTITY_NAME"":""NEAR MISS - G1201 – 21/08/2018-033296A005"", ""RELATIONSHIP""",28
node:dac3eaff-219a-48ae-b3f4-3fdf36a57ed2,"<CENTR_INSTITUTION N/A - Non Project Specific - Basic Organizational Injury-Injure - Testing) Format each entity as (""relationship""",node:54b37af7-5635-46d6-ae99-17a7256cb5b5,"(THE WELL-ESTABLISHED SEMICONODIC CORPORATION IN THE PH CELL OF A GEO - INCIDENT_TYPE,DATE AND LOSTYPE OF THE AURELANI CASE CORRECTED EQUIPMENT FOR WHICH HOLDING BODY","(""ENTITY""",29
node:56449912-b718-420f-b737-3ac0aeadb709,SYNEREI,node:30171701-d925-4c97-875d-f25e6b8d8745,"""SYSTEM_OF_RECORD""","""SYNERGI(2-SYSTEM USED)",30
node:2718cb4b-7a2e-4923-983e-c9ecf49a8c33,"Damage the wall to zObsolete, CRANE Obscurecence Operation Incident: Vestbase personnel.",node:06c6092a-2fb2-47ef-b825-8aa63d0b592a,"""INCIDENT_TITLE""","""CRANE - DAMAGE WALL DURING CRANE OPERATION BY 3.0(16-RISK WEIGHT)",31
node:61b720f4-a438-4987-afe0-9bdf1cb1ed7c,"""U+F""",node:0ac5cd8b-07f7-44ad-ab44-ee5a1f4da631,"""SPANNER""","""LOCATION_ASIA PACIFIC - ASIAFLEX - MALAYSIA – TANJUNG LANGSAT.""",32
node:71789d78-ff37-4fcd-a2eb-d0094118ca56,A9 PRODUCTION RUNNING INCIDENT,node:3f0749f7-79b8-41d1-92e9-8af426de8b24,"""NEAR MISS - DAMAGE: BROKEN BRACKET TO EMBEDDED ELECTRICAL PANEL""","<SOURCE_ENTITY=""BROKEN BRACKET TO EMBEDDED PANEL"">",33
node:d0286e44-25f0-49fc-accf-a94b08fd6b58,"<source_entity=""JX NIPPON OIP PANEL BREAKAGE - Asiaflex Products, Malaysia""",node:05960289-2144-4f50-bcc3-1d202586f620,"""BROKEN BRACKET TO EMBEDDED PANEL BREAKAGE - ASIAFLEX PRODUCTS, MALAYSIA: BROKEN BRACKET TO THE EMBEDDED PANEL BRACKET AT A9 CAGE 1 IN WORKPLACE.""","SYFLEX CLOSED INCIDENT""",34
node:cbcb967c-133d-4d57-b288-fb1a3f9f68d6,"The incident of the green bay light cover falling occurred at 00:00.0 on, with a N/A value in Risk Matrix indicating it was recorded as an MITIGATED DROPPED GREEN BAY LIGHT Cover (G218738 - Non Project Specific",node:9ced4edb-9109-4243-9df9-e3c11767c83d,"""GREEN BAY LIGHT COVER FALL TO GROUND - DATE AND TIME OF INCIDENT (DATE/TIME)""",CORPORATE/INCIDENT RELATIONSHIP,35
node:c5cb2139-1f2b-4fca-908d-724230be8c41,"""Closeness_date INCLIDENT_TYPE, LOCATION/BODILY PARTS",node:b53aed64-e57d-4fcc-a2ec-a6f38de9eb32,"""NEAR MISS INCIDENT SEVERITY LEVEL OF ONE <<<LOCATION_EQUIPMENT, INCIDRETYE, LOSS POTENSILITY OF TWO, DATE, EQUIPE/PERSONAL PROCESSMENTS(BODYLYKITCH","THE CEILING COLLAPSE IN MESS HALL 2 KITCHEN AREA IS RELATED TO THE LOCATION OF OCTOBER 13, 2017 WITH A SEVERITY LEVEL AND LIKELIHOOD RATING SELECTED",36
node:90bd9e6d-e707-4827-a08d-7f8353c10323,"""entity_name=N/A",node:9b16f098-5a4e-4367-a50d-97247eeb37b7,BREAKDOWN OF ROTATING JOINT AND OIL SPILL ON GROUND,LEFTO-CENTRAL INSTITUTION WORKPLACE - LOI OSLT,37
node:371adba4-7b1b-4d21-b7c4-32a8431eefa2,"""entity""<|)(""N/A",node:1b4d061c-fef1-4901-a55a-d6589ba9cf0d,BREAKDOWN OF ROTATING JOINT AND HYDRAULIC JOGANES'S GROUND LOCATION.,<1:30 P.M,38
node:f4d728a1-28f1-48e9-82ea-c2cd2a4816ff,ENVIRONMENTAL IMPACT (as the incident involved hazardous liquids exposure and pollution with a severity of 1.0),node:46b9f6a3-f7b5-4623-92d8-4a1554b85954,"""CABIUNAS BASE, MACAE","""TECHNIPFMC PLC.",39
node:7c49b5c1-04ea-46e2-9c9b-2fb6f4d7ea39,<entity_name>,node:4a08288b-5ab3-4bd4-a2bb-41c6c46030c0,SCAFFOLDER,REGA CLINIC STUDIO 3C09.27B14.,40
node:2a9b9309-4f8a-4abe-a98b-52d1f2986186,"The burst of a certified HP hose during the Umbilical function test on 01/02/2019 at Luanda Service Base, Angola led to an incident with minor financial impact - 2.0 severity and Unlikely likelihood (value: 2)Format each relationship as (""relationship""",node:488306c0-1a25-4f10-9d56-b729b9d0b943,MOSTERDA UMBILICAL SPREAD,HP HOSES BURST,41
node:1001de10-5f02-45b8-8027-9bf743c18dc4,<ORGANIZATION,node:40b288e4-7283-4663-bb54-f9286b14079b,"""IMPACT ENTITY/ASSET FIGURES AFFECTED"", ""ENTITY""",<HP HOSES,42
node:8d3f1c8c-296f-45f8-be96-f9ba3b7bed13,"Employee felt discomfort to his right wrist while operating the track hoe, leading to a strain injury.",node:7c6c9be8-4a98-4ee5-b4c4-2bca7c350249,PSC EMPLOYEE,RIGHT WRIST STRAIN,43
node:7c6c9be8-4a98-4ee5-b4c4-2bca7c350249,<relationship_description>,node:b6906e48-48a1-45c9-af18-b868a44a0913,RIGHT WRIST STRAIN,BODEN GULF CONSTRUCTION INCIDENT (2016-07-11),44
node:7c6c9be8-4a98-4ee5-b4c4-2bca7c350249,<entity_description>,node:ee4c8a94-1651-4e6d-b728-6e9ee5363f15,RIGHT WRIST STRAIN,BODY_PART AND ORGANIZATION (SASOL NORTH AMERICA INC),45
node:3fe4fcb8-341c-4551-a746-2a868bc3aff8,"""entity_name"":""Martin Smith"", """,node:e8b681cd-e9cf-4926-a75e-23ad30c30b01,"""CENTRAL INSTITUTION""","""MARTIN SMITH""",46
node:9270cba6-8ae1-42da-9c93-087ba8e27ec6,"""CHEVRON NORTH AMERICA EP CO.""",node:0ed05ac7-1347-4925-b4a5-fdbb1d205aef,"""FIRST MINOR FINANCIAL IMPACT INCIDENT_TYPE""","""CHEVRON 10-26 EP""",47
node:9270cba6-8ae1-42da-9c93-087ba8e27ec6,"""CHEVRON NORTH AMERICA EP CO..,""",node:5d383417-c528-4a1b-b5fe-2a61f51e77bd,"""FIRST MINOR FINANCIAL IMPACT INCIDENT_TYPE""","""CHEVRON 10-26 EP CO.""",48
node:be6d57a2-63a6-4a1a-87ee-a93781ce0e23,"Armourer team was assigned to lift a load at Flexi France and had taken care of getting away from the load. This case is categorized as Near Miss (Near miss) with Damage severity - 1, which occurred on _relationship_strength: ""7/11/2017""",node:bf01dc68-07a6-4802-a7df-ef93b79553d1,"""OPERATION LIFTING LOAD""","""FLEXI FRANCE""",49
node:39e77315-4264-4170-bde0-c2e1d6997497,"""FLEXI FRANCE CENTRAL INSTITUTION (Central Institution)""",node:6e728c78-87e8-4676-9009-e8b650dcc449,"""OPERATION LIFTING LOAD - NM-ARMEUSE 5-11/07/2017- RUPTURE D'UN ANNEAU DE LEVAGE SUR TRICHENILLE.""","INCIDENT_TYPE,EQUIPMENT CONDITION AND ""OPERATION LIFTING LOAD - NM""",50
node:39e77315-4264-4170-bde0-c2e1d6997497,"""The case was reported on _relationship_description: The welding cord broke during the lifting operation, which is a Near Miss (Mechanical - Equipment condition) with Damage as impact type and likelihood value of 1.0 for this incident.",node:6c214361-cc4f-4a59-9f00-b618cb6fd8f6,"""OPERATION LIFTING LOAD - NM-ARMEUSE 5-11/07/2017- RUPTURE D'UN ANNEAU DE LEVAGE SUR TRICHENILLE.""","FLEXI FRANCE PROJECT CENTER SYNERGI""",51
node:da27495f-4b7b-4521-855f-1ff9f1803e16,DATE,node:672f1e2b-7462-450f-ad53-9a66c7d4d720,4/25/2023,GIF-70168-19,52
node:672f1e2b-7462-450f-ad53-9a66c7d4d720,GEO,node:e00d2106-bb64-4dc9-9c7d-cb05e4d010eb,GIF-70168-19,"ABERDEEN, UK",53
node:d69b9563-79ec-4367-95df-7d00ea12a2b8,"Accident occurred at Pengerang and led to damage of equipment (Toyota Hilux), fence and lighting pole.",node:d1329655-5f2b-48f4-a83f-42ed4a76d984,PENGERANGAN,FIRUZABAD,54
node:98b6d12f-f87f-411e-a102-1c1e25c3ad0a,<source_entity:DURKE BATAGLLIANI,node:9e3cca2d-73d1-4a0a-8459-17b4b1db310d,EQUIPMENT,<ENTITY_NAME>,55
node:80073f34-7200-469c-92b8-727ae14d472e,<source_entity>,node:dac81cf6-8ebf-425d-8d34-b06ff90f3ba9,"INCIDENT-068047C1925 HRS ON 26.06.2014.<$JOSEBARS PIPELINE INCIDENT_TYPE,ORGAN/BODY OF AURELIAN THAT WERE EXCHANGED IN THE SAME HOSTAGE RELEASE","><RELATIONSHIP_STRENGTH:9)(""ENTITY""",56
node:5f55e6e4-7e3d-4a25-bece-8ba8af34e3ad,<entity_name>,node:9e55c8ad-af47-4f92-ac53-626a2830ab2b,EDRADOUR-SKANDIA FRUZABAD,INCIDENT_TYPE:MINOR EQUIPMENT DAMAGE IN THE TLS SYSTEM),57
node:5f55e6e4-7e3d-4a25-bece-8ba8af34e3ad,DEFLECTOR OF TLS SYSTEM,node:98b6d12f-f87f-411e-a102-1c1e25c3ad0a,EDRADOUR-SKANDIA FRUZABAD,EQUIPMENT,58
node:5f55e6e4-7e3d-4a25-bece-8ba8af34e3ad,FIRUZA BODY PARTS,node:1056474f-928c-4a0f-8f1a-636ef9848a52,EDRADOUR-SKANDIA FRUZABAD,ORGANIZATION,59
node:2bbfe165-bb70-4c6c-90ea-1e20f89b39c0,<source_entity>,node:a427c60f-2b8d-43f6-9a71-9663247c1c90,GRT ADAPTER,CLOSED CASE,60
node:2d3a1744-a067-4fd9-a45d-860f17ff6b76,EQUIPMENT_TYPE,node:b8056fc0-9734-4f4a-aa65-bcb3eb83b83a,"""SPARSE PART CONTAINER ROOF DETACHED AND FELL FROM THE CONTAINER""","""SMOKING AREA SMOKE RESULTED IN NO HUMAN LOSERS, BUT ONLY SECURITY PERSONNEL WERE AT ISSUE AREA AS ALL ALREADY GO HOME.""",61
node:62e88205-aa5c-44d2-901e-447c89f76b93,"<2>0.5)(""entity""",node:1f875b7e-b520-4843-b934-1d62ba07e9af,"""CRANE HALL C-LS SEMI-GANTRY CRANE NO. 1""","""DAMAGE - FINANCIAL IMPACT DUE TO THE DISLODGING OF JACK STANDS BY EQUIPMENT SUSPENDED FROM IT DURING OPERATION.""",62
node:c116b64d-1b31-4388-b07b-d7d1fd52ce94,"""Crane Operator Confusion Incident""",node:7f71ab6f-dd5a-4823-849c-13d3c3cb68b4,"""CRANE OPERATOR <-> STEEL COLUMN DAMAGE""","""THE CRANE OPERATOR CAUSED DAMAGE TO A BASE BOLT AND PORTION OF THE STEEL COLUMN BY SLEWING TOO FAR DURING INSTALLATION."")RELATIONSHIP_STRENGTH: 9.5 (GIVEN THAT THIS IS AN ACCIDENT WITH DIRECT CAUSATION, BUT NO INJURIES WERE REPORTED)(""ENTITY""",63
node:945e9b35-2280-4dee-84e6-fcc58b3d4063,"""ORGANIZATION""",node:8646a56e-ba60-44d8-993d-4f4492fe2494,"""TU INC.""","""SPREADER BAR SLING DAMAGE - LOCATION CHANNELLIVE, USA AND DATE 1/4/2ENGINE_STARTUP: THE TEXT DOES NOT PROVIDE INFORMATION ABOUT THE ENGINE STARTUP PROCESS. HOWEVER, I CAN CREATE A HYPOTHETICAL SCENARIO BASED ON TYPICAL PROCEDURES AND ENTITIES INVOLVED IN SUCH PROCESSES TO COMPLETE THIS TASK AS REQUESTED.)OUTPUT:(""ENTITY""",64
node:945e9b35-2280-4dee-84e6-fcc58b3d4063,"""RELATED EVENT DESCRIPTION AND TIMEFRAME FOR REPORT CLOSURE""",node:0a097231-3de5-496f-a77a-d11cb7b27caf,"""TU INC.""","""TECHNICIANS AFFECTED - FINALIZATION DATE 1/11/2018""",65
node:751821c2-e819-4861-bbe2-55f81266dcf5,"""TOWER OF THE VLS""",node:116c3bc8-87d0-40cb-9bff-576147ff0065,"""OPERATORS/EQUIPMENT""","""CLOCK FALLING OBJECTS/""GEOLOGICAL PROCESSES""",66
node:8ccfb870-6d46-4897-91a8-465ea9f12f29,"<relationship_str(""entity""",node:8bfe5961-4e2e-47a2-a187-fc191c5c4c84,DEEP BLUE VESSELELY OPERATIONS-BOTTOM SAFETHY CLICK AND PIN HOLDER TO HOIST OF 3 MILIANCIENTITY_,"C/A: ""ENTITY""",67
node:a2de1ded-1eff-4782-ae84-26085e66bcb2,BODY_PART,node:fa6dfc02-be17-4465-b00e-8556d2c67bb2,"""PEREGRINO II SURF PROJECT""","""TRUCKS INCIDENT 075370C001""",68
node:d07998cf-0d24-4427-952e-c232c7a70582,BATIM TECHGLOBOADMIC<=>) (,node:1654f0d5-b376-4318-a3db-f7d89c884a6c,<CENTRAL BUILDING COMMITTEE OF FIRST INDICTMENTS'S EMERGENCIAN (FIRUZZI-T,INJURY TG,69
node:d170ca11-f613-432d-8a6c-13824a9c111e,"""Incident where riggers were tasked with completing the mid line connection of Troll B H2 Flowline installation.""",node:0c2d0a68-8ef2-4087-84d5-b5a519422c88,NARROW MIDLINE CONNECTION OF TROLL B H2 FLOWLINE INSTALLATION,INCIDENT_TYPE,70
node:0c2d0a68-8ef2-4087-84d5-b5a519422c88,"""Near miss - Small Length of plastic grating drops from HOP subsea & causing rigger to lose his footing and slip in hang off collar Area.""",node:d002e418-0c15-4d1c-baad-1a307b5101c3,INCIDENT_TYPE,DISLOCATED GRIZING SECTION AT NORTH SHORE GIANT,71
node:0c2d0a68-8ef2-4087-84d5-b5a519422c88,"""The grating section was located (approximately 50m clear of product touchdown / catenary & recovered to deck by ROV.""",node:cf7b9737-5a70-453f-ad7f-1b0d0ed7e17d,INCIDENT_TYPE,ROV RECOVERY OF DISLOCATED GRIZING SECTION AT NORTH SHORE GIANT,72
node:2790cb80-e7ae-47fb-8944-05b54da1517d,"The finger pinching accident is a Lost Time Injury with severity value of 3.0 and likelihood to occur as Unlikely, resulting in critical risk weight for the loss potential (8) from MTI's perspective using Synergi system; it has been closed on status Closed by date September 15-2017.)<|COMPLETE|>-Step 1 (Entity Extraction): Identify all pairs of related source_entity, target_entity as well as relationship and strength between each pair identified in step 2 from this document based on your understanding of English language syntax. Format them with a numeric score indicating the strength of their relationships ranging from -5 to +5 where negative values indicate that they are not directly relevant or unrelated entities while positive scores represent strong, likely occurring events and zero indicates neutrality in likelihood (0). The relationship_strength should be based on your understanding.- Source entity: TOTAL E&P ANGOLA - Total Synergi Incident Management System 2",node:cf222cf9-7ed2-4493-b591-1aacdfa4aafe,"""MTI – KAOMBO PROJECT""","""FIRST FINGER PINCHED IN FORKLIFT FRONTS.""",73
node:f23817cb-1c93-444c-a33e-00c2c00833da,,node:88609a13-cb79-45e6-a2ad-b7a65b91c278,"""IP HAS BEEN BLESS TO FIRMLY CUT THE EQUERRE AT END OF WIRE_X000D_""","<BODY-THE SEVERITY OF THE INJURY TO IP WAS A RISK MATRIX VALUE FOR THIS CASE IS INJURY - 1.0, LOCATION:IP ASSOCIATE?TZ-HAZARD IDENTIFICATION & CHOC SUR LE MAIN LORS DE LA LIBÉRATION DU ZÉTA_X000D_""",74
node:fb3aae8e-f4c6-4c85-be39-55da3776a858,"The status of the case is Closed, which indicates that all necessary actions were taken and incident was reported on 11/28/2017 with a deadline for closure by December 16th)(""entity""",node:e0209818-2b54-4924-bb2b-8d46339a68f6,"""IP WAS CLOSED ON 12/16/2017""",<ACCIDENT-FAT-064081C002 AND IP'S FINGER CONTUSION,75
node:de8c5701-c490-4a67-95f1-ecbccd2761b8,"<source_entity=""IP HOSPITALIZED INCIDENT""",node:1abe2bc7-4010-4152-a587-406beb429f67,"""IP FALLING FROM TRACKED LOAD""","""BODY PART AFFECTED (ELBOW)""",76
node:b9f5539b-2882-4910-b7c7-138b365b5f3f,"<source_entity=""IP HOSPITALIZED INCIDENT"", target_entity=""Springhill Medical Center - Aug-26/2016, where the IP was taken for an X-ray examination and diagnosis. The severity value is 3.0""",node:0d5f2383-763e-4b1c-884b-2497541b02d9,"""IP REPORTING INCIDENT TO MEDICAL CENTER""","""BROKEN ELBOW AT GRAND CANYON 2 (LCV)""",77
node:0d5f2383-763e-4b1c-884b-2497541b02d9,"<source_entity=""IP HOSPITALIZED INCIDENT"", target_entity=""Personal Doctor - End of the week following this report, where fluid was drained from IP's elbow. The severity value for this case is also rated as 3.0""",node:d1ee3f76-94d1-4e2c-bd59-a18c6eb00ff7,"""BROKEN ELBOW AT GRAND CANYON 2 (LCV)""","""IP SELLING FLUID FROM ELBOW TO PERSONAL DOCTOR""",78
node:0d5f2383-763e-4b1c-884b-2497541b02d9,"<source_entity=""IP HOSPITALIZED INCIDENT"", target_entity=""Splint - The IP's arm is currently in a temporary cast/restraint. This case was reported as Non-Technip Owned and brokered by the Medic onboard where it occurred at workplace: Unknown, with an operating center corresponding to this incident being REGION NORTH AMERICA - TPUSA - USA - Houston""",node:a20dde2b-1a66-4c1c-a6c8-686a23d40d8b,"""BROKEN ELBOW AT GRAND CANYON 2 (LCV)""","""IP FITTED WITH SPLINT FOR BREAKEN ELBOW AT GRAND CANYON 2 (LCV)""",79
node:6616bb91-3a9d-45a6-9964-2f61424ca1ce,"""The improperly secured ratchet strap led to a near-miss incident, which could have resulted in injury or damage"")",node:07c36b38-45ce-4d9f-ad10-7bc9688a42df,"""NEAR MISS INCIDENT TYPE""","""RATCHET STRAPS EQUIPMENT""",80
node:6616bb91-3a9d-45a6-9964-2f61424ca1ce,"""Workers at TU Inc attempted the lifting and securing of equipment leading to a near-miss incident, which could have resulted in injury or damage"")",node:41f2bc3c-505f-4ab6-8cab-81dc47f8a086,"""NEAR MISS INCIDENT TYPE""","""TU INC WORKERS""",81
node:6616bb91-3a9d-45a6-9964-2f61424ca1ce,"""The Near Miss occurred at the workplace of TU Inc located in Channelview, USA."")",node:1d518c0e-2ec6-49c5-8ae9-e57d79bb9025,"""NEAR MISS INCIDENT TYPE""","""TU INC WORKSITE LOCATION""",82
