id,label,type
332,party rigger tfmc fst,Other
333,arms,Other
334,osb fork,Other
335,banksman,Other
336,forks,Other
337,person team,Other
338,container check,Other
339,two,Other
340,abrasion,Other
341,car evacuator,Other
342,trailer end,Other
343,side struts,Other
344,stick,Other
345,left,Action
346,crane boom,Other
347,camera,Other
348,peso,Other
349,g,Other
350,altura collision,Other
351,place,Other
352,guardrail,Other
353,ring finger,Other
354,renewal docking,Other
355,yard,Other
356,all,Other
357,problem,Other
358,last,Other
359,to round,Other
360,thread,Other
361,drill spanner,Other
362,drill,Other
363,spanner,Other
364,work party,Other
365,to remove the bolt,Other
366,project engineer,Other
367,individual,Other
368,wound,Other
369,compress,Other
370,vessel him,Other
371,arrangements,Other
372,clinic,Other
373,to record the event,Other
374,them,Other
375,buyer,Other
376,box,Other
377,cd duty degreaser,Other
378,overspray,Other
379,skin irritation,Other
380,valves drain,Other
381,maintenance team,Other
382,pressure gauge,Other
383,coating,Other
384,hand,Other
385,mold,Other
386,supervision,Other
387,após avaliao,Other
388,de bordo,Other
389,enfermeiro,Other
390,do colaborador,Other
391,coloration,Other
392,mti corpo,Other
393,esquerdo,Other
394,hall f one,Other
395,some,Other
396,wrench,Other
397,to hold the bolt,Other
398,piece,Other
399,nut driver,Other
400,thumb,Other
401,bolt,Other
402,gloves,Other
403,av litt av,Other
404,boltene,Other
405,samtidig,Other
406,den andre,Other
407,fjerne litt av,Other
408,boltens gjenger,Other
409,kjrt,Other
410,sannsynlig litt,Other
411,klemt litt,Other
412,som holder pussepapir,Other
413,muttertekker ble kjrt,Other
414,feet,Other
415,walking it off,Other
416,effect,Other
417,t excavator,Other
418,hose leak,Other
419,to work in,Other
420,spark sound,Other
421,cell,Other
422,forklift operator,Other
423,tool box,Other
424,driver,Other
425,rain,Other
426,housekeeping staff,Other
427,welders,Other
428,welder,Other
429,pipe stand,Other
430,welding horse,Other
431,coupon,Other
432,personnel,Other
433,tools equipment,Other
434,ratchet tool,Other
435,scratcher rung,Other
436,stop,Other
437,rov superintendent,Other
438,thought process,Other
439,safety latch tofs,Other
440,release button,Other
441,event,Other
442,queda do rufo,Other
443,telhado,Other
444,scaffolder,Other
445,wood,Other
446,part,Other
447,m,Other
448,requirement,Other
449,maua yard,Other
450,outcome,Other
451,impact potential,Other
452,substance,Other
453,dust,Other
454,third,Other
455,eye irritation,Other
456,eyes,Other
457,month contact lenses,Other
458,wear,Other
459,company,Other
460,speed bump,Other
461,car,Other
462,najm,Other
463,investigation,Other
464,liability,Other
465,handle,Other
466,teeth,Other
467,tfmc personnel,Other
468,wbrt assembly,Other
469,pups,Other
470,tsp,Other
471,indicator lines,Other
472,driller,Other
473,assembly,Other
474,mandrel,Other
475,infelizmente,Other
476,com sua ponta,Other
477,colaborador dirigiu se,Other
478,à enfermaria e planto,Other
479,os,Other
480,e o enfaixamento,Other
481,ferimento,Other
482,transverse cut,Other
483,tip,Other
484,theip,Other
485,spouse,Other
486,pole,Other
487,pendant,Other
488,ltc skandi,Other
489,opera§￡o tpb,Other
490,wire,Other
491,mango,Other
492,n,Other
493,leso,Other
494,skandi africa,Other
495,maintenance period,Other
496,crew access,Other
497,fabric maintenance,Other
498,mewp,Other
499,to operate,Other
500,mewp operator,Other
501,boom arm,Other
502,knuckle,Other
503,downwards,Other
504,s01 facilities contractor,Other
505,bee stings,Other
506,pounds,Other
507,footwear,Other
508,level leadership,Other
509,foot,Other
510,ice,Other
511,load backrest,Other
512,beam,Other
513,warehouse,Other
514,beam strike,Other
515,movement,Other
516,anything,Other
517,xt storage technician,Person
518,pallet foot,Other
519,queda,Other
520,test cap durante desmontagem,Other
521,top,Other
522,bottom,Other
523,block,Other
524,tugger wire,Other
525,desprendimento da lingada,Other
526,guindaste,Other
527,ratchet,Other
528,pulling head,Other
529,supplier,Other
530,ndt dimensional,Other
531,side,Other
532,coating -,Other
533,oil level,Other
534,rising,Other
535,pressure,Other
536,choke size,Other
537,shutting in,Other
538,janitor,Other
539,brush,Other
540,to bleed,Other
541,recover wachs,Other
542,guide bar,Other
543,point,Other
544,working position,Other
545,wachs cutter,Other
546,search,Other
547,pon,Other
548,platform,Other
549,value,Other
550,buoyancy effect,Other
551,to be considered,Other
552,seawater,Other
553,density,Other
554,packers,Other
555,to be supporting tool,Other
556,operating the tool,Other
557,man medic,Other
558,deck supervisor,Other
559,man,Other
560,cream wound,Other
561,tofs incident,Other
562,deep orient,Other
563,lid,Other
564,crew,Other
565,food containers,Other
566,leather gloves,Other
567,cut slicing machine,Equipment
568,cook,Other
569,às,Other
570,cozinheiros comida para refeio,Other
571,que,Other
572,o corte curativo estéril,Other
573,tfmc deep orient,Other
574,works,Other
575,account uniflex steward,Other
576,orange,Other
577,0630 board saloner,Other
578,steward,Other
579,ips finger,Other
580,band aid,Other
581,ocm captain client hsea,Other
582,container,Other
583,pequeno corte,Other
584,em,Other
585,collaborators,Other
586,metal tape,Other
587,route,Other
588,same,Other
589,tape,Other
590,tape pin,Other
591,pin,Other
592,aider,Other
593,twinge,Other
594,rollers,Other
595,access,Other
596,crouching,Other
597,conditions,Other
598,classification,Other
599,forklift driver,Other
600,alubox,Other
601,spinkler,Other
602,alarm,Other
603,sprinkler,Other
604,aluminum box,Other
605,support beam,Other
606,to reverse,Other
607,me,Other
608,nr ,Other
609,water pressure,Other
610,portvakt,Other
611,system,Other
612,conversations,Other
613,restarting,Other
614,tfmc operator,Other
615,to take some pictures,Other
616,information,Other
617,working system,Other
618,message,Other
619,hoses,Other
620,building,Other
621,inspections,Other
622,people,Other
623,things,Other
624,stop proceed,Other
625,degree turn,Other
626,trail,Other
627,shock,Other
628,gene,Other
629,colleague,Other
630,remedies it,Other
631,workpiece,Other
632,ppe,Other
633,leave,Other
634,t stack,Other
635,yetting,Other
636,lines,Other
637,using scaffold hooks,Other
638,using scaffold hooks poles,Other
639,poles,Other
640,tag lines,Other
641,riggers,Other
642,the,Other
643,ie,Other
644,shift,Other
645,bit,Other
646,what,Other
647,tank,Other
648,130,Other
649,consultant,Other
650,flashing,Other
651,equalization issues,Other
652,everything,Other
653,mess,Other
654,barracks,Other
655,site driver trailer,Other
656,outrigger,Other
657,pipe insulation ytprod-23h,Other
658,to retrieve crown plug,Other
659,manometer easyview,Other
660,cp,Other
661,jar,Other
662,swelling,Other
663,rdv,Other
664,eye glasses,Other
665,post,Other
666,pressure table,Other
667,torque,Other
668,bolts bolt break,Other
669,person,Other
670,torque equipment,Other
671,equipment,Other
672,cmrt cm,Other
673,rules verify isolation energy,Other
674,warehouse employee,Other
675,truck driver,Other
676,fire brigade,Other
677,situation extraction,Other
678,situation,Other
679,extraction,Other
680,rigging supervisor,Other
681,crane,Other
682,nov data,Other
683,that wire,Other
684,limit,Other
685,ongoingreport,Other
686,sheaves,Other
687,police,Other
688,d&a screening,Other
689,complaints,Other
690,members,Other
691,deep blue,Other
692,smoke,Other
693,avr system,Other
694,gibdock vessel offence,Other
695,gibdock,Other
696,offence,Other
697,approx roller bearing,Other
698,t shackle,Other
699,71,Other
700,commencing,Other
701,construction team,Other
702,removal,Other
703,closure squeeze,Other
704,place removal,Other
705,something shoulder,Other
706,cutting,Other
707,to be cut,Other
708,findings,Other
709,bubbles,Other
710,,
711,seconds,Other
712,note event,Other
713,technipfmc,Other
714,lathe brake,Other
715,machinery cap,Other
716,machinery,Other
717,himself,Other
718,consultation,Other
719,pain relief medication,Other
720,pain discomfort,Other
721,lathe,Other
722,sessions,Other
723,machine,Other
724,floor personnel,Other
725,door shutter,Other
726,tfmc,Other
727,office building,Other
728,sko flo,Other
729,grip,Other
730,carousel driver,Other
731,settings,Other
732,attempt,Other
733,roller paths,Other
734,chocks,Other
735,production operators,Other
736,tooling,Other
737,hammer,Other
738,wood timber,Other
739,bandage,Other
740,-,Other
741,yard activities,Other
742,to enter yard areas,Other
743,lanyard,Other
744,wave,Other
745,sea conditions,Other
746,pinch,Other
747,slip fall event,Other
748,motion,Other
749,manipule une,Other
750,à cliquet,Other
751,le technicien,Other
752,son travail,Other
753,jolt,Other
754,control workers,Other
755,sand slings,Other
756,maneuver,Other
757,to move back,Other
758,workers,Other
759,brigada,Other
760,cause,Other
761,detector,Other
762,rash,Other
763,opinion,Other
764,service mechanic,Other
765,flames,Other
766,replacement,Other
767,cleaning staff,Other
768,offices,Other
769,precautions letter,Other
770,offices precautions letter,Other
771,donald phillips,Other
772,se trocar,Other
773,da porta,Other
774,em trinco,Other
775,scratch,Other
776,ride,Other
777,step,Action
778,i pallen,Other
779,eneste,Other
780,ble jeg spurt,Other
781,de brukte,Other
782,pipe fitter,Other
783,kick,Other
784,moteur,Other
785,timon,Other
786,construction crew,Other
787,portside tts crane,Other
788,scaffold,Other
789,com isso passagem,Other
790,pedestres,Other
791,motorcycle,Other
792,passengers,Other
793,crossing the road,Action
794,vehicles,Other
795,team member,Other
796,purchase,Other
797,check,Other
798,to move forward,Other
799,findings injuries,Other
800,bumper damage,Other
801,sustained,Other
802,damage party driver,Other
803,to allow passage,Other
804,party driver,Other
805,plan member vehicle,Other
806,winch,Other
807,catcher assembly,Other
808,sign,Other
809,sheave assembly,Other
810,injuries,Other
811,warehouse technician,Other
812,pcs,Other
813,to back pain,Other
814,to stop working,Other
815,more,Other
816,das 23h,Other
817,dia,Other
818,desconforto e identificou,Other
819,em seu macaco,Other
820,recebeu sutura local,Other
821,pm employee,Other
822,tear,Other
823,attention,Other
824,health team,Other
825,duties,Other
826,treatment injury ip,Other
827,tooth,Other
828,look,Other
829,tooth another,Other
830,another,Other
831,ip pain killers press,Other
832,service,Other
833,appointment,Other
834,cart,Other
835,falling to the ground,Other
836,operations,Other
837,o,Other
838,com,Other
839,superficiais gotejamento,Other
840,na superfície,Other
841,rubber sheet,Other
842,rubber,Other
843,transferida,Other
844,sobre prancha,Other
845,fishing tool,Other
846,to roll,Other
847,queda da frt durante,Other
848,em carreta,Other
849,metal,Other
850,edge,Other
851,connection,Other
852,pressure hoses,Other
853,pipelay operations,Other
854,ueh 9f,Other
855,initial actions operations,Other
856,flap one ,Other
857,ptw,Other
858,operaes,Other
859,flap 1,Other
860,permisso trabalho,Other
861,ao,Other
862,normal,Other
863,vazio abaixo,Other
864,capturou parte,Other
865,steel wires,Other
866,team leader,Other
867,start,Other
868,characteristics,Other
869,lp1 n,Other
870,motor,Other
871,pump,Other
872,torque pump,Other
873,coordinator,Other
874,hook,Other
875,chin,Other
876,operations deep star,Other
877,pipelay operations transfer,Other
878,riser,Other
879,pieces,Other
880,containment tray,Other
881,mm edge,Other
882,team pih,Other
883,mitigation,Other
884,waste,Other
885,frc,Other
886,maneuverability,Other
887,approx tsp,Other
888,lights,Other
889,smoking,Other
890,electrical light fixture,Other
891,smoking in project connex,Other
892,electric pallet,Other
893,am,Other
894,wind,Other
895,project,Other
896,5ltrs,Other
897,to be lost,Other
898,tofs,Other
899,minor shell tellus s3,Other
900,work colleague,Other
901,technicians hand,Other
902,rack,Other
903,s15 customer property technician,Other
904,balance,Other
905,medicessel,Other
906,you,Other
907,function manipulator,Other
908,control line,Other
909,volume,Other
910,to be up to,Other
911,approx,Other
912,pilet connection assembly,Other
913,coat,Other
914,notice,Other
915,party vehicle,Other
916,breaks,Other
917,rear,Other
918,party,Other
919,carousel accumulator,Other
920,ucon,Other
921,carousel e driver,Other
922,e stop,Other
923,b9 do forklift,Other
924,loads,Other
925,dislodging,Other
926,steel plate,Other
927,pickup,Other
928,vls,Other
929,op,Other
930,joints presence,Other
931,operators,Other
932,screws,Other
933,company vehicle ld3970,Other
934,road,Other
935,hrs,Other
936,repair clamps,Other
937,this breath,Other
938,water discharges oil discharge,Other
939,irritation,Other
940,amelioration incident,Other
941,joystick controls,Other
942,grid,Other
943,garfo,Other
944,tenarisshawcor operator,Other
945,pipe,Other
946,emergency stop,Other
947,contractor,Other
948,a4,Other
949,hand tool,Other
950,force,Other
951,blade,Other
952,to rotate forward,Other
953,work glove,Other
954,cables,Other
955,hole cutter,Other
956,chisel,Other
957,impact,Other
958,pipe manufacturer,Other
959,cargo vessel,Other
960,stevedore,Other
961,net,Other
962,hd078,Other
963,repairs,Other
964,wheels,Other
965,hall g operator,Other
966,particle,Other
967,something,Other
968,fire fighting,Other
969,plant brigade team,Other
970,whiplash,Other
971,collar,Other
972,disnivate,Other
973,tropie,Other
974,life jacket,Other
975,safety helmet,Other
976,chin strap,Other
977,helmet,Other
978,immediate actions,Other
979,body,Other
980,cup fluid,Other
981,time doses,Other
982,issues,Other
983,metal doors,Other
984,to work,Other
985,company vehicle,Other
986,accident,Other
987,intersection,Other
988,contractor driver,Other
989,tfmc driver car,Other
990,najam agent,Other
991,assessment,Other
992,car accident,Other
993,bleeding,Other
994,oil release deep blue,Other
995,w wind,Other
996,o velocidade,Other
997,knts,Other
998,isso,Other
999,manipulador,Other
1000,o petróleo,Other
1001,para,Other
1002,flew rov,Other
1003,manipulator hose,Other
1004,compensators,Other
1005,deck checks,Other
1006,o capito,Other
1007,bordo,Other
1008,assembly technician,Other
1009,pallet jack,Other
1010,physician,Other
1011,end loader,Other
1012,fence,Other
1013,lifting ring,Other
1014,employee finger,Other
1015,type injury,Other
1016,inch,Other
1017,floating in the water,Other
1018,vessel crew,Other
1019,debris,Other
1020,note rope,Other
1021,lb,Other
1022,leak,Other
1023,hole,Other
1024,helpers,Other
1025,skid,Other
1026,cage,Other
1027,to drive,Other
1028,bending the hook,Other
1029,rolling bridge tape,Other
1030,jacket,Other
1031,difficulty,Other
1032,window,Other
1033,roller shutter curtain,Other
1034,harm,Other
1035,hat,Other
1036,room,Other
1037,ancle,Other
1038,working,Other
1039,environmental load sensor gauge,Other
1040,waves,Other
1041,swell,Other
1042,account rov uhd,Other
1043,recovery,Other
1044,hanger team,Other
1045,rov team sopep equipment,Other
1046,source,Other
1047,rov supt,Other
1048,ocm captain,Other
1049,woodside,Other
1050,informed,Other
1051,vessel position conditions,Other
1052,w vessel,Other
1053,equinor,Other
1054,rov hd79,Other
1055,está,Other
1056,o projeto mero1f2,Other
1057,colaborador estava seu,Other
1058,realizar piso,Other
1059,da oficina,Other
1060,durante momentos finais,Other
1061,levantamento,Other
1062,procura,Other
1063,médico,Other
1064,comparecer ao médico,Other
1065,colaborador,Other
1066,manuseio adotadas durante,Other
1067,a&e,Other
1068,tire,Other
1069,curb,Other
1070,swing,Other
1071,momentum,Other
1072,threads,Other
1073,impact gloves latex gloves,Other
1074,metal burr,Other
1075,glove,Other
1076,blood,Other
1077,hess dsv,Other
1078,to see the medic,Other
1079,hess hse,Other
1080,working outside,Other
1081,lead dsv,Other
1082,ipcontractor,Other
1083,linelock hose,Other
1084,stopping motion,Other
1085,flange portion,Other
1086,connection point,Other
1087,immersion,Other
1088,return,Other
1089,immersion supervisor,Other
1090,fire watch,Other
1091,flame,Other
1092,extinguisher,Other
1093,to deploy fire extinguisher,Other
1094,casing head,Other
1095,rotors pn501926001,Other
1096,protection gloves,Other
1097,rotor,Other
1098,port fire service,Other
1099,to be discarded,Other
1100,capacitors,Other
1101,charge,Other
1102,rain water,Other
1103,pen,Other
1104,mixer,Other
1105,to get out,Other
1106,term,Other
1107,object,Other
1108,ip face,Other
1109,tetanus shot,Other
1110,hose case,Other
1111,visibility,Other
1112,permission,Other
1113,ip ambulance,Other
1114,tag line,Other
1115,statement,Other
1116,number,Other
1117,welding supervisor,Other
1118,team 08,Other
1119,column,Other
1120,voice command radio stop,Other
1121,transfer operation,Other
1122,crane control issues,Other
1123,mcgregor,Other
1124,testing at 0345,Other
1125,crane hook,Other
1126,fire box,Other
1127,o gancho,Other
1128,caixa incendio,Other
1129,front loader,Other
1130,tube,Other
1131,tube slurry,Other
1132,incidente com dano,Other
1133,roletes,Other
1134,coupling,Other
1135,para fora,Other
1136,nm wood,Other
1137,inclinou para fora,Other
1138,taxi,Other
1139,managers,Other
1140,support,Other
1141,autoclave valve,Other
1142,to be closed,Other
1143,pfm operator,Other
1144,bevel operations g109493,Other
1145,button,Other
1146,pipes,Other
1147,to move,Other
1148,buttons,Other
1149,bevel habitat,Other
1150,stop button,Other
1151,stab operations,Other
1152,company vehicle ld3724,Other
1153,minimal damage bumper,Other
1154,road carrier,Other
1155,transportation,Other
1156,projection,Other
1157,sst,Other
1158,redness,Other
1159,us,Other
1160,input,Other
1161,epi table,Other
1162,trailer puller,Other
1163,turning radius,Other
1164,self harness,Other
1165,ground,Other
1166,injury forklifts,Other
1167,snow,Other
1168,clay,Other
1169,pig cage,Other
1170,deck team,Other
1171,rov project teams clientele,Other
1172,safety gloves,Other
1173,unit,Other
1174,inspector,Other
1175,dressings,Other
1176,hospital care,Other
1177,navio sapura topázio,Other
1178,sua folga,Other
1179,empresa fiel ao desembarcar,Other
1180,veículo,Other
1181,traslado interno,Other
1182,primeira fileira de assentos,Other
1183,em seguida,Other
1184,o ferimento suturado,Other
1185,crane remote,Other
1186,lamp,Other
1187,it bandage,Other
1188,job post,Other
1189,leaf,Other
1190,coupe,Other
1191,decidiram stab,Other
1192,receptáculo corte,Other
1193,durante stab,Other
1194,receptáculo da ferramenta,Other
1195,bar,Other
1196,warehouse coordinator,Other
1197,pallets,Other
1198,that step bones,Other
1199,bones,Other
1200,wire cut,Other
1201,scrape,Other
1202,relief valve,Other
1203,ibuprofen,Other
1204,to turn back on,Other
1205,he she,Other
1206,barrier,Other
1207,durante o fat,Other
1208,flexível,Other
1209,a,Other
1210,no estava subindo,Other
1211,investigar e confirmar,Other
1212,proteo e,Other
1213,oil leakage,Other
1214,assembly clamps,Other
1215,wraps magnets,Other
1216,basket,Other
1217,t crane,Other
1218,xlx127,Other
1219,replacement panel,Other
1220,fault,Other
1221,hpu,Other
1222,rlwi pressurized hose,Other
1223,jeg vet ikke,Other
1224,mye trykk,Other
1225,var de,Other
1226,holdt,Other
1227,bakken,Other
1228,gangen a3 a2,Other
1229,to use a ladder,Other
1230,thrt,Other
1231,injuries thrt,Other
1232,floor,Other
1233,at63,Other
1234,sit _,Other
1235,security agent,Other
1236,round,Other
1237,bray,Other
1238,office container,Other
1239,fight fighther,Other
1240,base,Other
1241,ice cleats,Other
1242,facilities technician,Other
1243,mo,Other
1244,em divisória,Other
1245,vlm,Other
1246,descent,Other
1247,agent,Other
1248,brightness,Other
1249,trash hopper,Other
1250,causing a loud noise,Other
1251,tech,Other
1252,lead management,Other
1253,et,Other
1254,delene skulle,Other
1255,kunne,Other
1256,hansker,Other
1257,mobilisation activities,Other
1258,body cramps,Other
1259,sleep,Other
1260,chief pipelay engineer,Other
1261,answer,Other
1262,cpe,Other
1263,vomiting into the sink,Other
1264,vessel master,Other
1265,facility,Other
1266,conditions day,Other
1267,hse a,Other
1268,stress symptoms,Other
1269,args,Other
1270,role,Other
1271,to report to him,Other
1272,iron,Other
1273,post weld,Other
1274,buffer,Other
1275,william duske,Other
1276,shift supervisors,Other
1277,access panel,Other
1278,dynamic umbilical,Other
1279,srt,Other
1280,ocs,Other
1281,electric,Other
1282,truck malfunctioning,Other
1283,off,Other
1284,management,Other
1285,to stand - up,Other
1286,sample carrier,Other
1287,pallets 4,Other
1288,index finger,Other
1289,area contractor,Other
1290,elbow,Other
1291,mm end cap,Other
1292,trainee,Other
1293,lead rigger,Other
1294,items,Other
1295,tubes,Other
1296,cladtek,Other
1297,brasil,Other
1298,hospital,Other
1299,toe,Other
1300,fracture,Other
1301,paiol alimentos para,Other
1302,abraso sua mo direita,Other
1303,recebeu,Other
1304,trabalho,Other
1305,trava da porta,Other
1306,que abastada e todas,Other
1307,aid treatment return,Other
1308,door latch,Other
1309,doors,Other
1310,scenario,Other
1311,company driver,Other
1312,pedestrian,Other
1313,need,Other
1314,current,Other
1315,driver mohamed abdelhady,Other
1316,visable injuries,Other
1317,engine,Other
1318,care,Other
1319,gps,Other
1320,speed,Other
1321,to drive- the driveris,Other
1322,to defensive,Other
1323,workshop cfao,Other
1324,liberado para retorno trabalho,Other
1325,torque tool panel,Other
1326,forehead,Other
1327,aid treatment,Other
1328,stu i,Other
1329,winds,Other
1330,1,Other
1331,wheel,Other
1332,operator spotter,Other
1333,car window,Other
1334,sight,Other
1335,serum washing,Other
1336,fitting torquing,Other
1337,rest report,Other
1338,working time,Other
1339,working platform,Other
1340,stable correct,Other
1341,strain injury,Other
1342,torque tool,Other
1343,thse,Other
1344,intervention,Other
1345,vessel steward,Other
1346,floors,Other
1347,examination,Other
1348,medication,Other
1349,mask,Other
1350,pelo,Other
1351,e olhos,Other
1352,adequados diárias higienizao dos,Other
1353,produto químico,Other
1354,initial action,Other
1355,captain ocm client hse,Other
1356,apos,Other
1357,her,Other
1358,causa da persitencia,Other
1359,sintomas,Other
1360,crew members,Other
1361,nao tem,Other
1362,fispq,Other
1363,cut tube,Other
1364,cps,Other
1365,kappet rr,Other
1366,kapping,Other
1367,fra nordscrap,Other
1368,07032024,Other
1369,steel scrap,Other
1370,to be radioactive,Other
1371,verification checks,Other
1372,800pm,Other
1373,return line,Other
1374,height,Other
1375,shipping loading bay,Other
1376,vallourec tubular solutions,Other
1377,joints,Other
1378,vallourec,Other
1379,stacking operations,Other
1380,authority workers,Other
1381,storage stack area,Other
1382,port authority,Other
1383,concerns,Other
1384,layers,Other
1385,to be used,Other
1386,end stops,Other
1387,shell tfmc,Other
1388,duty,Other
1389,onsite clinic,Other
1390,to return to work,Other
1391,iron sse,Other
1392,nitrile gloves,Other
1393,warehouse operator,Other
1394,handling operation,Other
1395,corner,Other
1396,client meindo,Other
1397,energise mcc ups,Action
1398,underwork permit jra loto,Other
1399,ups fans,Other
1400,error message,Other
1401,these,Other
