text,count
Dropped Valve from loader.,10
"On the evening of January 13th around 22:00 (10:00PM) TechnipFMC employees were prepping for the job at hand when STEP Energy Services wanted to use our torque pump because ours was out and convenient. We currently did not have any permits for the Genie or the required paper work to break there work spool above the master valve.  The Step employee put our spanner/drive on their connection and backed it up to the adjacent nut. The TechnipFMC employee hit the button with verbal communication and it got caught up under the work spool valve outlets, bending the hose & fittings that are attached to the drive. This caused the fittings and hose to separate and hydraulic fluid to release, spraying in the Step employee in the forehead. Step employee was checked out by medic on site & returned to work within the hour due to no injuries present.",10
"Sapura Esmeralda, scheduled to operate alongside TOP CDA for cargo transfer operations, made an unauthorised entry within vessel 500m zone and approached TOP CDA at high speed, resulting in a close quarters situation.",10
"After removing a PRV for servicing I went to order new gaskets for it, I looked at the old gaskets and realized that a 150 ANSI gasket had been used between 600 ANSI flanges.",10
"Forklifts were driven between a wagon that was loaded with an EDP and pallets that were ready to be transported out of the workshop._x000D_ When passing the EDP, the sideways of the forklift truck entered the seafront on EDP._x000D_ The route of the truck crushed. See attached pictures._x000D_ There was no personal injury._x000D_ Broken glass was removed from the floor and the case was reported to the customer as a RUH.",10
"We had an ESD shut down due to a HiHi level that triggered an ESD shut in.  The ESD failed to close and caused the PRV to activate.  No injuries, spills, or damage to equipment occurred due to the PRV operating properly.",10
"On 03.04.2017 during walk down of Instrument Air line Commissioning Supervisor observed the RED Blind at Train 2 Battery Limit had been removed despite color of the blind, Live Line warning sticker, Tag Out of valve / blind, and orange warning netting over the flange and blind.",9
"Function testing of override jack XT PN: 100010238 SN: 45036112-01. The work was carried out according to procedure PSM-0010505 and HFT-0010216. The incident occurred at point 2.3 3/4 in the procedure. There were 145 bar pressure on the manometer. The piston loosened from the cylinder and hit the ceiling inside the actuator room where the test was performed. WT stood on the outside of the room with the door partially closed. WT got some oil on the clothes, these were changed immediately.",9
"CASE DESCRIPTION *_x000D_ On 07.09.17 it was reported that an “oiler” (maintenance operative) while performing his daily duties, driving a service/maintenance truck (Mercedes Unimog 1300L ME63286), at Kavala RoW (Chalkero area) on a flat road with a very low uphill inclination (2,5 degrees), lost control of the vehicle, and drifted left and drove off the edge of the road down the slope, of approximately 28 degrees, rolling for unknown number of times, and then ended up in its final position close to an existing goat farm. _x000D_ _x000D_  FACTS:_x000D_ - The IP joined the project on 21st of February 2017_x000D_ - The IP has a licence to drive the specific type of vehicles (type “C”) since September 1997_x000D_ - The IP has attended the project’s truck defensive driving training (including off road training) on 13th of March 2017_x000D_ - The IP attended the project’s IVMS induction training on 24th of February 2017_x000D_ - IVMS was fitted to the vehicle and it was initially installed in September 2016 (the investigation has identified problems with the unit – See further details in the investigation report)_x000D_ - The IP was fit for work; a declaration was issued 23rd of February 2017_x000D_ - The IP has 6,5 months of experience driving in the specific mountain area_x000D_ - According to IP’s working schedule of the last two months, he didn’t exceed his standard working hours. _x000D_ - According to the standard daily base program of the IP, he mobilises as a passenger at approx. 06:30, with the company’s bus from Serres Camp 04 and reaches his working area at Kavala (KP 190) after 1h 50m, to pick up his truck and commence his daily duties, which consist of greasing and maintaining machineries on site (excavators, side boom, crushers etc). The IP, ends his shift with the rest of the crew around 16:30 when those who live in Serres, they return back to Camp 04 at approx. 18:20._x000D_ - The IP has no clear recollection from the exit point of leaving the road to arriving in Kavala hospital_x000D_ - The vehicle has registered by the Ministry of Transportation as an ‘oiler truck’ at 08th of May 2001 and the insurance is valid till the 31st of December 2017_x000D_ - The truck undertaken all scheduled maintenance and service. The last maintenance was performed on 30th of August. A visual inspection has been performed at that day, prior to the daily shift. _x000D_ - The Mercedes Unimog truck manufactured at 1981 _x000D_ _x000D_ CONCLUSIONS: _x000D_ - The IP tried to attempt to drink from a bottle of water and lost control of the vehicle drifting to the left and driving off the road._x000D_ - The investigation team believes that the IP was wearing a seatbelt due to the fact that the injuries sustained could be consistent with the rolling over of the vehicle and the loose seatbelt that was caused by its extension",9
"During transfer of jumper J20 to offshore Jubilee field for installation a Turnbuckle sleeve dropped from a height of approx 4 meters onto the deck of the Bourbon Asterie. The turnbuckle sleeve weighing approx. 25kg was not under tension or lifting strain but was parked in its shipping position in transit to field. _x000D_ An initial lift and test lift was performed the previous day at Sekondi Fabrication yard involving the full rigging assembly including turnbuckle which went without incident. Due to the final resting positions of the assembly it can at this stage be assumed that the turnbuckle separated during transit to field caused by several factors including, vibration, vessel movement, failure to fully engage safety devices namely locking nuts.",9
Employee was driving Company vehicle off-duty. Employee hit a civillian vehicle while backing out of parking lot at low speed. Cosmetic damage occcured to our fleet vehicle. Civillian vehilce was damaged.,9
"Heavy lift team was preparing to move an Appomattox spanner joint skip assembly into the shop, while trying to figure out the center of gravity of the spanner joint the operator started to remove the slack from the slings and in the process sheared 3 out of 4 pins used to hold the railing in place. There had been prior failures of the removable railing and a QN was written but not communicate to lift team.",9
"On September 26 at approximately 3:30pm, a truck carrying a flatrack container loaded with two Sandvik reels for the Liza Project struck a bridge while traveling on Texas State Highway 225 westbound from the port at Barbours Cut._x000D_ _x000D_ The front reel struck the bridge and was rolled forward, shifting nearly off the trailer. The load was then moved by law enforcement approximately 2.3 miles from the site of the collision to a gravel parking lot located on the northwest corner of Goodyear Drive and Highway 225._x000D_ _x000D_ Subsequent investigation indicates that the reel rolled forward and slid/jumped an forward and laterally. The wood platform on the chassis was damaged, the straps securing the front reel to the truck were broken, and the wooden frame securing the reels to the trailer was broken._x000D_ _x000D_ The back reel sustained no visible damage, and the straps and supporting frame for the back reel were fully intact. TechnipFMC Quality and Engineering will perform an inspection and disposition of the reels at Gateway's storage location._x000D_ _x000D_ No information on any injuries has been received. A police report is forthcoming and should be available by October 7.",9
"At 17:30 on the 18th May 2017, welders were in warehouse preparing bumpers. These bumpers were to be installed over ventilation duct under warehouse hatch._x000D_ _x000D_ While passing by this area, an AB noticed that one bumper has been tack welded on the sides directly on top of fuel tank 7 Portside._x000D_ AB immediately stopped the work and reported this to Barge Foreman and 2nd Engineer._x000D_ _x000D_ The job was suspended until further investigation could be carried on the next morning._x000D_ _x000D_ On the 19th May 2017 morning, during the course of the investigation, it was identified that the same welders were asked to perform hot works on the same location few weeks before (“repair shelves in Warehouse”, PTW 192558, 26th April 2017). The feet of the shelves were above double plates._x000D_ _x000D_ Due to this precedent hot work performed in the same area, welders assumed that there was no risk of tack welding the bumpers in this area._x000D_ _x000D_ Master immediately called all concerned parties (Barge Foreman, Barge Engineer, Chief Engineer, HSEA, Welding Foreman, Welders) and conducted a TOFS.",9
"The work activity planned was tie-in welding. The foreman decided to transfer a pipe layer, needed for the activity, to the other side of the trench. This was to allow access to the welding activity at the bottom of a slope,_x000D_ The excavation bell hole was larger than usual in order to gain enough space for the future hydrotest activities, this constricted the usable space on the running track for the passage of other project vehicles._x000D_ A crossover point that had been previously established built up with soil to allow excavators and other equipment to cross, this had been established 3 days previously._x000D_ The decision was taken to allow the side boom to cross using this temporary earth berm _x000D_ The pipe layer assigned to this phase, a Delta PL95H Hydrostatic Pipe layer, was crossing the trench at 10:40 approx, when it slowly started to tip over on the counterweight side, reclining gradually on the counterweight, to the bottom of the trench, approximately 4m _x000D_ The operator was wearing the seat belt, he did not sustain any injury and was able to leave the seat and reach a safe location._x000D_ ? The pipe layer was not transporting a load _x000D_ ? The passageway had a slight incline towards the trench side where the side-boom sunk._x000D_ ? The operator switched off the engine when he felt that the pipe layer was losing balance; he did not have the time to counterbalance by lowering the boom. _x000D_ ? The side boom slipped down the slope slowly and overturned",9
"During the set up of the welding generators, one of the generators (provided by the seafasteners contractors) fell from the FLT forks._x000D_ _x000D_ The welding generator did not have forklift lifting pockets. The FLT had the generator sitting on the forks; as it transited across the quayside it went over the crane (rail) tracks causing the forklight to bump and the generator fell off the forks. _x000D_ _x000D_ The generator fell approx. 20cm to quay from the forks. _x000D_ _x000D_ The Port Call Management Plan (PCMP) was in place, quayside barriers were in place and no personnel were in the vicinity (as per PCMP). The FLT was being banked by designated banksman.",9
"While installing CVB body into the connector, the  service bar used to rotate CVB sheared while exerting rotational force with a stand up forklift.",9
Crane counter-weight hit mini-excavator,9
"As 10:32AM durante o i?amento do cabo do guincho do A&R para topo da torre usando o guincho W1 em ten??o constante, houve um rompimento do elo da corrente utilizada na configura??o da lingada conectada entre o guincho W1 e o A&R._x000D_ At 10:32 AM during the recovery of the A&R winch from PLS table to the PLS top, a chain link that was connecting the A&R extremity and the W1 (used in constant tension) parted.",9
"During the dismantling of a accumulator bottle for SFT panel P6000043090 / 47145513-014 the top cap of the accumulator was removed to inspect the bottle. Air was used from other side to move the piston inside the accumulator to remove it, this is normally done with both lids on to prevent that the piston can exit the accumulator then after its verified both sides is pressureless,lids are taken of and plank is used to push out the piston onto a pile of rags on the table accu is located on. Air is normally used in this work due to the piston often is stuck and hard to remove any other way. _x000D_ _x000D_ But in this instance the lid was forgotten to be put back after the inspection before air was used to move the piston (weight 9.9kg) and it exited the accumulator and flew 4,4 meters and hit a Alternator frame. the frame was dented from the force._x000D_ See pictures attached. _x000D_ _x000D_ We have LWI for this named "" LWI-0000020521"" and this incident was during the disassembly off accumulator point 6.0 that starts on page 14/28. _x000D_ This states that removal of piston should be done with a soft peice of wood (typically we have used 2by4 planks.)_x000D_ Ref note that is written after point 6.4 on page 15/28. _x000D_ _x000D_ The area was not corded off since if procedure han been followed this has no possibilety to happen._x000D_ There was no damage on the parts for the accumulator.",9
